category,metric,value
monitoring_accuracy,iot_mape_power,13.161433605770329
monitoring_accuracy,traditional_mape_power,0.0
monitoring_accuracy,improvement_pct,0.0
data_availability,iot_pct,100.0
data_availability,traditional_pct,100.0
data_availability,improvement_pct,0.0
communication,iot_latency_ms,50.0
communication,traditional_latency_ms,3600000.0
communication,iot_packet_loss_pct,2.0
communication,iot_delivery_rate_pct,98.0
fault_detection,iot_detection_rate_pct,100.0
fault_detection,traditional_detection_rate_pct,0.0
fault_detection,iot_response_time_s,0.05
fault_detection,traditional_response_time_s,3600.0
energy_analysis,iot_power_mae,1.2264209527741554
energy_analysis,traditional_power_mae,107.84683964677482
energy_analysis,iot_energy_error_pct,0.3836200335680229
energy_analysis,traditional_energy_error_pct,76962300.97261895
energy_analysis,power_error_improvement_pct,98.86281233943343
energy_analysis,energy_error_improvement_pct,99.99999950154812
